site_no,event_id,peak_date,peak_value,peak_quantile,peak2zero,drying_rate,p_value,calendar_year,season,meteorologic_year,dry_date_start,dry_date_mean,dry_dur
02266200,63,280,0.6,0.3189893649720293,46,0.23805554781989322,0.007502988424311168,1986,Fall,1986,325,313.3181818181818,44
02266200,70,156,3.1,0.510788713346038,19,0.41245228492826286,1.2562634966395964e-4,1987,Spring,1987,174,175,3
02266200,72,184,1.2,0.3831683776971783,10,0.4807936947363182,0.03509955824680711,1987,Summer,1987,193,194,3
02266200,76,221,1.8,0.4335771807954755,18,-0.16110763519045623,0.4908624728554586,1987,Summer,1987,238,241,7
02266200,79,259,1.5,0.40947931394848464,25,0.3012055144577148,0.007310852575086718,1987,Fall,1987,283,283,1
02266200,80,285,0.3,0.27964590889530955,13,-0.23442681416374578,0.5754265160215513,1987,Fall,1987,297,300,7
02266200,91,121,1.2,0.3831683776971783,11,0.1863571904498188,0.20379826834030057,1988,Spring,1988,131,137.5,14
02266200,92,147,0.3,0.27964590889530955,4,-4.930542713731966e-16,0.42885706986802347,1988,Spring,1988,150,153,7
02266200,95,187,0.7,0.33042355689432595,8,-0.1378910024201845,0.6618487938830689,1988,Summer,1988,194,194,1
02266200,107,66,1.9,0.4405237597590213,25,0.12107827137791413,0.1347620102578592,1989,Spring,1989,90,169.5,160
02266200,111,299,0.9,0.3529845699883199,16,0.005375631565312292,0.9754444966575466,1989,Fall,1989,314,316,5
02266200,112,319,0.3,0.27964590889530955,5,-0.079869147404278,0.8948830949082484,1989,Fall,1989,323,332,19
02266200,116,54,1.7,0.4268150242822893,40,0.15344588125420935,0.003169254407139266,1990,Spring,1990,93,144.5,104
02266200,124,333,0.6,0.3189893649720293,21,-0.12149865070662806,0.5007165652703376,1990,Fall,1990,353,168.96153846153845,26
02266200,171,113,0.5,0.30497325874469783,24,-0.1339347607619046,0.2698722468924993,1994,Spring,1994,136,146.5,22
02266200,201,118,0.8,0.3421036454171021,23,0.09668708466663349,0.3102293176948354,1997,Spring,1997,140,145,11
02266200,223,120,3.4,0.5246818712731296,24,0.17941012495124384,0.03034388178338374,1998,Spring,1998,143,171,57
02266200,224,210,0.6,0.3189893649720293,24,-0.02577833122769935,0.8136695251056363,1998,Summer,1998,233,245.5,26
02266200,228,34,1.6,0.4188233847667056,27,0.21054565906671216,0.028409091582212463,1999,Winter,1998,60,121,123
