gage,threshold,wet_DateTime,q,rewetting_event,weting_subevent,inital_rewetting_rate,p_value_i,rewetting_rate,p_value,sample_rate
2264000,0.25,2011-06-29T23:00:00Z,2.1,34,1,0.04249821890801243,0.9813717757740968,0.04249821890801243,0.9813717757740968,1
2264000,0.25,2013-05-03T23:45:00Z,0,36,0,0.0677559696531009,0.4349780631754052,0.007951106976245107,0.8239136224743014,0.25
2264000,0.25,2013-05-04T07:00:00Z,0.2,36,1,0.0677559696531009,0.4349780631754052,0.007951106976245107,0.8239136224743014,0.25
2264000,0.25,2013-05-04T13:30:00Z,0.3,36,2,0.0677559696531009,0.4349780631754052,0.007951106976245107,0.8239136224743014,0.25
2264000,0.25,2013-05-05T00:30:00Z,0.4,36,3,0.0677559696531009,0.4349780631754052,0.007951106976245107,0.8239136224743014,0.25
2264000,0.25,2015-06-23T21:45:00Z,0,37,0,0.09744932392100815,0.3071213217886077,0.3407818051937018,7.749342458244853e-26,0.25
2264000,0.25,2015-06-24T03:30:00Z,0.1,37,1,0.09744932392100815,0.3071213217886077,0.3407818051937018,7.749342458244853e-26,0.25
2264000,0.25,2015-06-25T01:15:00Z,0.2,37,2,0.09744932392100815,0.3071213217886077,0.3407818051937018,7.749342458244853e-26,0.25
2264000,0.25,2015-06-25T08:00:00Z,0.3,37,3,0.09744932392100815,0.3071213217886077,0.3407818051937018,7.749342458244853e-26,0.25
2264000,0.25,2015-06-26T00:30:00Z,8.5,37,4,0.09744932392100815,0.3071213217886077,0.3407818051937018,7.749342458244853e-26,0.25
2264000,0.25,2017-06-03T19:15:00Z,0,38,0,0.02143885126262155,0.3197732875085895,-0.010909509716757278,0.3232597451442055,0.25
2264000,0.25,2017-06-04T20:15:00Z,0.1,38,1,0.02143885126262155,0.3197732875085895,-0.010909509716757278,0.3232597451442055,0.25
2264000,0.25,2017-06-07T03:30:00Z,0.1,38,2,0.02143885126262155,0.3197732875085895,-0.010909509716757278,0.3232597451442055,0.25
2264000,0.25,2017-06-08T05:30:00Z,0.1,38,3,0.02143885126262155,0.3197732875085895,-0.010909509716757278,0.3232597451442055,0.25
2264000,0.25,2017-06-12T05:15:00Z,0.3,38,4,0.02143885126262155,0.3197732875085895,-0.010909509716757278,0.3232597451442055,0.25
2264000,0.25,2018-04-10T12:15:00Z,0,39,0,0.07728343813470445,0.29339322902114484,0.08289895618148743,0.09160176603531206,0.25
2264000,0.25,2018-04-10T18:45:00Z,0.3,39,1,0.07728343813470445,0.29339322902114484,0.08289895618148743,0.09160176603531206,0.25
