project,date,siteId,rType,rep,sublocation,month,time_cst,sub_watershed,burn_area,stream_order,elevation,flow_state,conductivity,canopy_cover_percent,long,lat,stic_sublocation,stream_temp_C_1wk_avg,stream_temp_C_2wk_avg,stream_temp_C_3wk_avg,percent_wet_1wk_avg,percent_wet_2wk_avg,percent_wet_3wk_avg,twi,distance_from_outlet,drainage_area,wetted_width,stream_depth_max,stream_depth_mean,slope_percent,weather,pH,stream_temperature,crewBGC,crewMicro
AIMS,20210606,04M08,ENVD,1,SW,June,11:40,04M,N4D,2,380.3074036,flowing,558.3,31.3,-96.58221,39.08131,HS,14.76237741,14.94427509,14.97108952,1,1,1,15.45113182,1.6,13.8929,2.3,0.381,0.20574,3.098705989,"overcast, mild, somewhat windy",7.73,NA,"Jess Wilhelm, Sarah Flynn","Kevin Kuehn, Charlie Bond"
AIMS,20210606,04M09,ENVD,1,SW,June,15:30,04M,N4D,2,384.8762207,flowing,546.1,32.3,-96.581629,39.079941,HS,15.46200594,15.59828253,15.63621096,1,1,1,15.01551914,1.8,8.4654,1.2,0.3048,0.17018,2.919221629,"cloudy, hot",8.07,NA,"Jess Wilhelm, Sarah Flynn","Kevin Kuehn, Charlie Bond"
AIMS,20210606,04M10,ENVD,1,SW,June,16:30,04M,N4D,2,393.9353333,flowing,555,62.5,-96.58289,39.077433,HS,15.49735513,15.61895167,15.65964608,1,1,1,14.87435055,2.1,6.5928,0.6,0.0635,0.031115,2.618615199,"cloudy, hot",8.07,NA,"Jess Wilhelm, Sarah Flynn","Kevin Kuehn, Charlie Bond"
AIMS,20210607,04M11,ENVD,1,SW,June,13:45,04M,N4D,2,404.717041,flowing,528.5,37.5,-96.583835,39.074718,HS,15.80325409,15.53535316,15.59864021,1,1,1,13.76612186,2.5,2.8759,0.57,0.03,0.03,3.458180553,"80s, sunny",8.25,21.3,"Eva Burke, Bri Richards","Charlie Bond, Harley-Payj Leatherman"
AIMS,20210607,04M12,ENVD,1,SW,June,14:22,04M,N4D,1,407.2463074,flowing,569.1,72.9,-96.584063,39.073158,HS,15.04872214,15.04682528,15.21936239,1,1,1,14.38844585,2.7,2.2526,2.7,0.03,0.03,1.45519363,"80s, hot as heck",8.21,16.1,"Bri Richards, Eva Burke, Sam Thomas","Lydia Zeglin, Charlie Bond, Harley-Payj Leatherman"
AIMS,20210607,04M13,ENVD,1,SW,June,16:13,04M,N4D,1,407.2463074,dry,,50,-96.584299,39.070814,HS,20.93713224,19.98362082,20.19476903,0.185735513,0.189591078,0.290826285,14.38844585,2.93,2.2526,,,,1.45519363,"80s, sunny",,,"Bri Richards, Eva Burke, Sam Thomas","Lydia Zeglin, Charlie Bond, Harley-Payj Leatherman"
AIMS,20210604,04T01,ENVD,1,SW,June,9:36,04M,N4B,1,379.5954285,dry,,10.4,-96.584301,39.082362,HS,16.21178306,17.83773419,17.83773419,0.621099554,0.68694956,0.68694956,14.6586132,1.45,6.65,,,,3.276013653,80s,,,"Bri Richards, Eva Burke, Sam Thomas","Lydia Zeglin, Charlie Bond, Harley-Payj Leatherman"
AIMS,20210607,04T02,ENVD,1,SW,June,11:00,04M,N4B,1,387.0223694,flowing,546.1,1,-96.580834,39.079705,HS,16.33662478,16.26803092,16.36318086,1,1,1,13.50106335,1.8,3.6848,,,,5.763167458,80s,8.25,21.4,"Bri Richards, Eva Burke, Sam Thomas","Lydia Zeglin, Charlie Bond, Harley-Payj Leatherman"
AIMS,20210607,04W01,ENVD,1,SW,June,8:40,04W,N2B,1,360.5698242,dry,,64.6,-96.58543,39.08816,HS,19.60074294,18.54882528,18.55940143,0.684992571,0.842379182,0.862068966,14.72917557,0.6,7.6246,0,0,0,3.499689997,"hot, sunny",,,"Sarah Flynn, Jess Wilhelm, Kaci Zarek","Ken Aho, Michael J Braus"
AIMS,20210607,04W02,ENVD,1,SW,June,9:44,04W,N2B,1,370.9928284,flowing,541.2,95.8,-96.58689,39.08609,HS,16.4933581,16.48085502,16.58824333,1,1,1,14.14491558,0.88,6.1046,1.1,0.15,0.083,5.019240788,"warm, sunny",8.08,17.7,"Sarah Flynn, Jess Wilhelm, Kaci Zarek","Ken Aho, Michael J Braus"
AIMS,20210607,04W03,ENVD,1,SW,June,10:44,04W,N2B,1,382.2555237,flowing,555.9,34.4,-96.58803867,39.08385954,HS,17.07074294,16.9175539,16.97934938,1,1,1,13.66539764,1.2,4.2006,2.6,0.06,0.022,5.575492804,"suuny, warm",8.16,18.7,"Sarah Flynn, Jess Wilhelm, Kaci Zarek","Ken Aho, Michael J Braus"
AIMS,20210607,04W04,ENVD,1,SW,June,12:00,04W,N2B,1,391.0866699,flowing,561.7,93.8,-96.58866,39.08223,HS,17.81424963,17.18182156,17.34407287,0.087667162,0.335315985,0.41834743,14.39993095,1.4,2.9436,0.5,0.08,0.31,1.879598913,"sunny, hot",8.02,17.3,"Sarah Flynn, Jess Wilhelm, Kaci Zarek","Ken Aho, Michael J Braus"
AIMS,20210605,20M01,ENVD,1,SW,June,15:41,20M,N20B,1,371.0545349,dry,,13.5,-96.57694,39.08838,HS,16.67286776,18.72119703,18.72119703,0.145616642,0.185873606,0.185873606,14.87513256,1.31,18.9453,,,,7.481488741,"90s, sunny",,,"Eva Burke, Bri Richards","Eva Burke, Lydia Zeglin"
AIMS,20210605,20M02,ENVD,1,SW,June,16:27,20M,N20B,1,378.9335327,dry,,0,-96.5737,39.08921,HS,14.59120357,15.59831227,15.59831227,1,1,1,16.0319767,1.65,16.3166,,,,2.037042638,"90s, sunny",,,"Eva Burke, Bri Richards","Lydia Zeglin, Harley-Payj Leatherman"
AIMS,20210605,20M03,ENVD,1,SW,June,17:00,20M,N20B,1,385.9613342,dry,,35.4,-96.57178,39.08822,HS,14.70236324,17.07536758,17.07536758,1,0.884853853,0.884853853,15.66395473,1.91,9.0899,,,,1.639925733,"90s, sunny",,,"Eva Burke, Bri Richards","Lydia Zeglin, Harley-Payj Leatherman"
AIMS,20210606,20M04,ENVD,1,SW,June,9:25,20M,N20B,1,389.7962036,flowing,544.1,76,-96.57111,39.08709,HS,15.98811293,16.32228253,16.37583622,1,1,1,15.41920757,2.06,8.6075,,,,1.983258448,"70s, overcast",8.24,17.4,"Eva Burke, Bri Richards","Lydia Zeglin, Harley-Payj Leatherman"
AIMS,20210606,20M05,ENVD,1,SW,June,10:53,20M,N20B,1,401.0048828,flowing,529.8,4.2,-96.568,39.086,HS,15.84432392,16.17125651,16.24164469,1,1,1,13.70702839,2.4,5.444,,,,6.919350964,"70s, overcast",8.13,19.3,"Eva Burke, Bri Richards","Lydia Zeglin, Harley-Payj Leatherman"
AIMS,20210604,SFM01,ENVD,1,SW,June,10:54,SFM,N1A,3,350.8111572,flowing,561.1,78.1,-96.587193,39.092281,HS,14.95903418,15.77372298,15.77372298,1,1,1,18.44983101,0,132.6873,7.7,0.1905,0.10795,1.476474482,"clear, sunny",8.01,17.7,"Erin Seybold, Jess Wilhelm, Connor Brown, Bri Richards, Sarah Flynn","Brett Nave, Lydia Zeglin, Charlie Bond, Ken Aho, Rob Ramos, Michael J Braus"
AIMS,20210604,SFM02,ENVD,1,SW,June,14:00,SFM,N4B,3,352.7506104,flowing,545.7,84.4,-96.58632,39.09126,HS,14.99649331,15.85152922,15.85152922,1,1,1,17.58334923,0.14,107.6787,2.289,0.1397,0.09525,2.848214171,"sunny, clear, hot",8.1,18.7,"Erin Seybold, Jess Wilhelm, Connor Brown, Bri Richards, Sarah Flynn","Brett Nave, Lydia Zeglin, Charlie Bond, Ken Aho, Rob Ramos, Michael J Braus"
AIMS,20210605,SFM03,ENVD,1,SW,June,,SFM,N4B,3,353.4151611,flowing,574.9,63.5,-96.58578,39.09099,LS,15.15369985,15.878171,15.878171,1,1,1,18.85499001,0.18,67.0512,2.73,0.1905,0.107244444,0.497656872,"sunny, clear, hot",7.98,18.9,"Jess Wilhelm, Connor Brown, Bri Richards, Sarah Flynn",BLANK
AIMS,20210605,SFM04,ENVD,1,SW,June,,SFM,N4B,3,356.1382751,flowing,564.8,86.5,-96.5844,39.09089,HS,15.0961367,15.70999257,15.70999257,1,1,1,18.68798256,0.35,60.9054,1.785,0.2286,0.1158875,0.53420538,"sunny, clear, hot",8.06,17.5,BLANK,BLANK
AIMS,20210605,SFM05,ENVD,1,SW,June,10:57,SFM,N4B,3,361.0678101,flowing,559.5,80.2,-96.58186,39.09019,HS,15.2846211,15.92358364,15.92358364,1,1,1,16.93181992,0.66,58.6702,3.15,0.1651,0.11938,2.977030614,"~70s, hot, sunny",8.02,17.2,"Bri Richards, Connor Brown","Lydia Zeglin, Michael J Braus, Ken Aho, Harley-Payj Leatherman"
AIMS,20210605,SFM06,ENVD,1,SW,June,12:16,SFM,N20B,3,365.2245483,flowing,549.4,85.4,-96.57941,39.0895,,,,,,,,16.90305519,0.91,51.0121,0.025,0.15,0.099,2.664457202,"80s, sunny",8.06,18.5,"Connor Brown, Bri Richards, Rachel Wakefield, Eva Burke","Lydia Zeglin, Michael J Braus, Ken Aho, Harley-Payj Leatherman"
AIMS,20210605,SFM07,ENVD,1,SW,June,13:51,SFM,N20B,3,367.3485718,flowing,528.8,97.9,-96.578458,39.088683,HS,15.3920208,16.0369145,16.0369145,1,1,1,17.54718971,1.1,49.9061,,,,1.369543574,"90s, sunny",8.01,21.1,"Connor Brown, Bri Richards, Rachel Wakefield, Eva Burke","Lydia Zeglin, Michael J Braus, Ken Aho, Harley-Payj Leatherman"
AIMS,20210606,SFT01,ENVD,1,SW,June,14:58,SFM,N4B,1,356.8398438,flowing,589.7,2.1,-96.58517,39.09185,HS,15.79066865,16.04113011,16.11101319,1,1,1,13.78743362,0.3,4.5053,,,,5.294576991,"80s, sunny",8.02,19.2,"Eva Burke, Bri Richards","Lydia Zeglin, Harley-Payj Leatherman"
AIMS,20210606,SFT02,ENVD,1,SW,June,13:12,SFM,N4B,1,372.4689026,flowing,536.1,4.2,-96.57852,39.09105,HS,16.26858841,16.67016357,16.7081263,1,0.983643123,0.984732824,14.25018978,1.01,4.8346,,,,3.58234839,"80s, partly cloudy",8.13,18.3,"Eva Burke, Bri Richards","Lydia Zeglin, Harley-Payj Leatherman"
AIMS,20210714,01M01,ENVD,1,SW,July,12:50,01M,N1B,3,373.90979,dry,,,-96.577021,39.086665,HS,23.85950966,24.38889219,24.37854735,0.61961367,0.799256506,0.77342588,16.61853981,1.4,28.3099,,,,1.965986462,partly cloudy,,,"MW, KZ, EB",NA
AIMS,20210714,01M02,ENVD,1,SW,July,12:55,01M,N1B,3,375.4253235,pool,643.8,,-96.576332,39.086288,HS,24.64390788,24.85098885,24.55057015,0,0,0,15.35936356,1.51,27.8823,,,,6.791313277,,7.53,,"MW, KZ, EB",NA
AIMS,20210714,01M03,ENVD,1,SW,July,13:45,01M,N1B,3,378.8143921,dry,,,-96.575936,39.084711,HS,24.25041605,24.71452045,24.64109073,0,0,0,15.67690945,1.7,25.997,,,,4.621014623,windy,,,"MW, KZ, EB",NA
AIMS,20210714,01M04,ENVD,1,SW,July,13:55,01M,N1B,3,381.355896,dry,,,-96.575156,39.083636,LS,26.38013373,26.80699628,26.36727814,0,0,0,15.51594639,1.84,24.7503,,,,5.164930423,cloudy,,,"MW, KZ, EB",NA
AIMS,20210714,01M05,ENVD,1,SW,July,14:15,01M,N1B,3,384.7107544,pool,542.6,,-96.574188,39.082643,HS,25.46471025,25.07336059,25.11593456,0,0.058736059,0.096678235,15.9600172,2,19.8808,,,,2.666399599,sunny,8.06,30,"MW, KZ, EB",NA
AIMS,20210714,01M06,ENVD,1,SW,July,15:05,01M,N1B,2,394.2240906,dry,,,-96.571582,39.080649,HS,23.03383358,23.19818587,22.87089241,0,0,0.179474467,15.75028801,2.46,10.5589,,,,1.747324665,partly cloudy,,,"MW, KZ, EB",NA
AIMS,20210713,02M01,ENVD,1,SW,July,16:34,02M,N1A,1,353.3493958,dry,,,-96.58813,39.09188,LS,24.83931649,24.83547212,25.04773922,0,0,0,17.50626373,0.102,24.1532,,,,0.690609994,partly cloudy,,,"MW, KZ, EB",NA
AIMS,20210713,02M02,ENVD,1,SW,July,16:37,02M,N1A,1,356.2748718,dry,,,-96.58832556,39.09084425,HS,23.74008915,23.85296654,23.77779375,0.017830609,0.008921933,0.00594943,16.74125099,0.235,23.732,,,,1.458008466,partly cloudy,,,"MW, KZ, EB",NA
AIMS,20210713,02M03,ENVD,1,SW,July,16:43,02M,N2B,1,358.495636,dry,,,-96.58859,39.08991,HS,23.80350669,23.73695911,23.59748637,0.001485884,0.000743494,0.000495786,15.93150425,0.36,20.3529,,,,2.808448387,partly cloudy,,,"MW, KZ, EB",NA
AIMS,20210713,02M04,ENVD,1,SW,July,16:52,02M,N2B,1,364.2157288,dry,,,-96.589642,39.088242,,,,,,,,16.02225113,0.62,18.9885,,,,2.393399355,partly cloudy,,,"MW, KZ, EB",NA
AIMS,20210713,02M05,ENVD,1,SW,July,17:00,02M,N2B,1,367.7589417,pool,645.7,,-96.59082413,39.08698067,,,,,,,,16.33888054,0.809,17.783,,,,1.63363215,sunny,8.04,24.3,"MW, KZ, EB",NA
AIMS,20210713,02M06,ENVD,1,SW,July,17:47,02M,N2B,1,369.4064026,pool,595.3,,-96.591427,39.087237,HS,24.50961367,24.06292937,23.57473475,0.277860327,0.637174721,0.75805652,15.4359417,0.88,15.6919,,,,3.552439129,,7.95,29,"MW, KZ, EB",NA
AIMS,20210714,02M07,ENVD,1,SW,July,8:45,02M,N2B,1,373.2965393,flowing,639.1,,-96.59252,39.08648,HS,17.94240713,17.34660967,16.93406049,1,1,1,15.26016903,1.04,14.1328,,,,3.813568313,overcast,7.6,18.4,"MW, KZ, EB",NA
AIMS,20210714,02M08,ENVD,1,SW,July,9:45,02M,N2B,1,376.8670044,dry,,,-96.592913,39.085573,HS,25.66384844,26.07886989,26.12856222,0,0,0,15.93290806,1.2,12.9671,,,,1.787641455,sunny,,,"MW, KZ, EB",NA
AIMS,20210714,02M09,ENVD,1,SW,July,9:52,02M,N2B,1,379.9472046,dry,,,-96.59339,39.08482,HS,23.89459138,23.38911524,22.74777392,0.933135215,0.966542751,0.977689638,14.74790478,1.33,9.8943,,,,4.453773322,"cool, cloudy",,,"MW, KZ, EB",NA
AIMS,20210714,02M10,ENVD,1,SW,July,10:02,02M,N2B,1,387.2233887,pool,583.6,,-96.59357,39.08251,HS,22.69393759,21.60643866,20.64922657,1,1,1,14.12819386,1.6,6.1497,,,,5.140935224,cloudy,8.16,23.5,"MW, KZ, EB",NA
AIMS,20210714,02M11,ENVD,1,SW,July,10:58,02M,N2B,1,401.5448608,pool,563.6,,-96.593682,39.079249,HS,25.65881129,25.98957621,25.78277144,1,1,1,14.58442116,2,2.6741,,,,1.420063582,sunny but windy,7.75,24.5,"MW, KZ, EB",NA
AIMS,20210714,04M01,ENVD,1,SW,July,8:33,04M,N2B,2,355.1574097,flowing,605.6,,-96.586195,39.089842,HS,21.63216939,21.19573978,21.04207238,1,1,1,16.12752151,0.32,39.7602,,,,4.50414143,"windy, some clouds",7.7,21,"SR, JW",NA
AIMS,20210714,04M02,ENVD,1,SW,July,10:00,04M,N2B,2,362.0723267,flowing,582.6,,-96.58481,39.08775,HS,20.27549777,20.10282528,20.48672781,1,1,1,15.95807076,0.66,30.2096,,,,4.055731079,"windy, some clouds",8.35,21.6,"SR, JW",NA
AIMS,20210714,04M03,ENVD,1,SW,July,13:52,04M,N4D,2,364.9915771,pool,507.6,,-96.58366,39.08685,HS,24.83072808,25.05842379,25.11275657,0.004457652,0.002230483,0.001487357,17.71474266,0.81,29.302,,,,0.680164765,"cloudy, windy, hot",8.11,32.1,"SR, JW",NA
AIMS,20210714,04M04,ENVD,1,SW,July,14:47,04M,N4D,2,367.722168,flowing,579.9,,-96.58345,39.08576,HS,21.62111441,21.05658736,20.55201289,1,1,1,15.89907742,0.95,28.413,,,,4.046366321,"partially cloudy, windy",8.04,29,"SR, JW",NA
AIMS,20210714,04M05,ENVD,1,SW,July,11:16,04M,N4D,2,370.0584717,flowing,634.6,,-96.5831,39.08502,HS,19.58566122,19.17115985,18.79258304,1,1,1,16.17440605,1.06,23.8689,,,,2.583657999,cloudy with sun,8.03,23.7,"SR, JW",NA
AIMS,20210714,04M06,ENVD,1,SW,July,12:11,04M,N4D,2,372.0547791,pool,551,,-96.58342,39.084258,HS,22.56304606,22.69420074,22.76432821,0,0,0,15.63758564,1.2,23.3323,,,,4.314900413,cloudy with some sun,7.98,22.8,"SR, JW",NA
AIMS,20210714,04M07,ENVD,1,SW,July,17:58,04M,N4D,2,376.434906,dry,,,-96.58253,39.08278,HS,25.12983655,25.28281041,24.14969757,0,0.020817844,0.291026277,17.33314705,1.4,15.1506,,,,0.515087173,"cloudy, some sun",,,JW,NA
AIMS,20210714,04M08,ENVD,1,SW,July,19:12,04M,N4D,2,380.3074036,flowing,643.9,,-96.58221,39.08131,HS,19.07615156,18.61994796,18.17333664,0.73551263,0.867657993,0.911750124,15.45113182,1.6,13.8929,,,,3.098705989,"cloudy, sun setting",7.72,15.3,"SR, JW, EB",NA
AIMS,20210714,04M09,ENVD,1,SW,July,18:09,04M,N4D,2,384.8762207,dry,,,-96.581629,39.079941,HS,25.73090639,25.42695911,24.74880516,0,0.119702602,0.340604859,15.01551914,1.8,8.4654,,,,2.919221629,"cloudy, some sun",,,JW,NA
AIMS,20210714,04M10,ENVD,1,SW,July,18:15,04M,N4D,2,393.9353333,dry,,,-96.58289,39.077433,HS,23.11433878,23.24815613,23.06220625,0,0,0.1993059,14.87435055,2.1,6.5928,,,,2.618615199,"cloudy, some sun",,,JW,NA
AIMS,20210714,04M11,ENVD,1,SW,July,18:21,04M,N4D,2,404.717041,dry,,,-96.583835,39.074718,HS,25.05619614,25.78130112,25.34015369,0.007429421,0.003717472,0.188894398,13.76612186,2.5,2.8759,,,,3.458180553,"cloudy, sunny",,,JW,NA
AIMS,20210714,04M12,ENVD,1,SW,July,18:25,04M,N4D,1,407.2463074,dry,,,-96.584063,39.073158,HS,22.4717682,24.12495167,24.07423401,0.378900446,0.189591078,0.29300942,14.38844585,2.7,2.2526,,,,1.45519363,"cloudy, some sun",,,JW,NA
AIMS,20210714,04M13,ENVD,1,SW,July,18:31,04M,N4D,1,407.2463074,dry,,,-96.584299,39.070814,HS,26.36731055,26.76336803,26.61877045,0,0,0,14.38844585,2.93,2.2526,,,,1.45519363,"cloudy, sunset",,,JW,NA
