response,model_type,full_predictors,stepwise_predictors,rmse,r_squared,aic
minDO.pctsat,linear,"PercWet_1d, dPercWet_60d, Q_30d",Q_30d,0.9340876918740828,0.10693568270424794,2637.7322554429684
minDO.pctsat,linear,"PercWet_1d, dPercWet_60d, Q_60d","dPercWet_60d, Q_60d",0.9202165090894953,0.14006834603346954,2605.400989108911
minDO.pctsat,linear,"PercWet_1d, dPercWet_60d, exeProb","PercWet_1d, exeProb",0.9482578729190012,0.125659021158766,2621.3704273556527
minDO.pctsat,linear,"PercWet_1d, dPercWet_60d, Depth_1d","PercWet_1d, dPercWet_60d, Depth_1d",0.8829109592842942,0.22634169428454765,2509.801567312341
minDO.pctsat,linear,"PercWet_1d, dPercWet_60d, Depth_7d","PercWet_1d, dPercWet_60d, Depth_7d",0.8665325323139564,0.25956510398286475,2467.620778963151
minDO.pctsat,linear,"PercWet_1d, dPercWet_60d, Depth_14d","PercWet_1d, dPercWet_60d, Depth_14d",0.8543152241798403,0.26992402227600426,2454.0811508920515
minDO.pctsat,linear,"PercWet_1d, dPercWet_60d, Depth_30d","PercWet_1d, dPercWet_60d, Depth_30d",0.8565606349598165,0.27309955146648524,2449.8920805278726
minDO.pctsat,linear,"PercWet_1d, dPercWet_60d, Depth_60d","PercWet_1d, dPercWet_60d, Depth_60d",0.8703250451061295,0.24743688747239748,2483.234292690981
minDO.pctsat,linear,"PercWet_1d, PPT_1d, Q_1d","PercWet_1d, PPT_1d, Q_1d",0.957196053105692,0.0759994985650162,2680.458161157326
minDO.pctsat,linear,"PercWet_1d, PPT_1d, Q_7d",Q_7d,0.9562573045804034,0.04382412322782417,2703.3524736071095
minDO.pctsat,linear,"PercWet_1d, PPT_1d, Q_14d",Q_14d,0.9437373446297581,0.06492683257489369,2681.905752527176
minDO.pctsat,linear,"PercWet_1d, PPT_1d, Q_30d","PPT_1d, Q_30d",0.9361223792783363,0.10969659754280009,2638.756715120928
minDO.pctsat,linear,"PercWet_1d, PPT_1d, Q_60d","PPT_1d, Q_60d",0.9226301701432016,0.13571586543569605,2610.252751593332
minDO.pctsat,linear,"PercWet_1d, PPT_1d, exeProb","PercWet_1d, PPT_1d, exeProb",0.9503100366643749,0.12996347493278482,2622.6276598484455
minDO.pctsat,linear,"PercWet_1d, PPT_1d, Depth_1d","PercWet_1d, PPT_1d, Depth_1d",0.8904786326394862,0.21702218097432321,2521.308635864782
minDO.pctsat,linear,"PercWet_1d, PPT_1d, Depth_7d","PercWet_1d, Depth_7d",0.8754445474221937,0.24060129177513992,2485.923734621693
minDO.pctsat,linear,"PercWet_1d, PPT_1d, Depth_14d","PercWet_1d, Depth_14d",0.86512971122208715,0.24772986290394397,2476.8600992136057
minDO.pctsat,linear,"PercWet_1d, PPT_1d, Depth_30d","PercWet_1d, Depth_30d",0.867036292764209,0.24546003124118956,2479.755367660992
minDO.pctsat,linear,"PercWet_1d, PPT_1d, Depth_60d","PercWet_1d, Depth_60d",0.8864216528082702,0.19538414196928836,2541.5060735548677
minDO.pctsat,linear,"PercWet_1d, PPT_7d, Q_1d","PercWet_1d, PPT_7d, Q_1d",0.951618543180993,0.10170199673763196,2653.3476314803943
minDO.pctsat,linear,"PercWet_1d, PPT_7d, Q_7d","PercWet_1d, PPT_7d, Q_7d",0.9495036339003746,0.11477076984488556,2639.2639488737927
minDO.pctsat,linear,"PercWet_1d, PPT_7d, Q_14d","PercWet_1d, PPT_7d, Q_14d",0.9385981185508354,0.12987599746613618,2622.724278343335
minDO.pctsat,linear,"PercWet_1d, PPT_7d, Q_30d","PPT_7d, Q_30d",0.9284152048302226,0.1261921902842167,2620.7842352090806
minDO.pctsat,linear,"PercWet_1d, PPT_7d, Q_60d","PercWet_1d, PPT_7d, Q_60d",0.914905179960794,0.18355767049607857,2561.5283224990626
minDO.pctsat,linear,"PercWet_1d, PPT_7d, exeProb","PercWet_1d, PPT_7d, exeProb",0.9463676127118644,0.1380419812711999,2613.6628499776884
minDO.pctsat,linear,"PercWet_1d, PPT_7d, Depth_1d","PercWet_1d, PPT_7d, Depth_1d",0.8807287612903529,0.23306006948707092,2501.4198888891833
minDO.pctsat,linear,"PercWet_1d, PPT_7d, Depth_7d","PercWet_1d, Depth_7d",0.8754445474221937,0.24060129177513992,2485.923734621693
minDO.pctsat,linear,"PercWet_1d, PPT_7d, Depth_14d","PercWet_1d, Depth_14d",0.86512971122208715,0.24772986290394397,2476.8600992136057
minDO.pctsat,linear,"PercWet_1d, PPT_7d, Depth_30d","PercWet_1d, Depth_30d",0.867036292764209,0.24546003124118956,2479.755367660992
minDO.pctsat,linear,"PercWet_1d, PPT_7d, Depth_60d","PercWet_1d, Depth_60d",0.8864216528082702,0.19538414196928836,2541.5060735548677
minDO.pctsat,linear,"PercWet_1d, PPT_14d, Q_1d","PercWet_1d, PPT_14d, Q_1d",0.9409293950159958,0.14215954328732286,2609.061165867809
